,State,Year,Debt at end of fiscal year,Capital outlay,Expenditure,General expenditure,General revenue,Insurance trust  revenue,Intergovernmental,License tax,Revenue,Selective sales tax,Tax,Correction,Education,Financial Aid,Health,Insurance benefits and repayments,Interest on debt,Interest on general debt,Intergovernmental.1,Miscellaneous general revenue,Natural Resources,Other taxes,Police protection,Transportation,Utilities,Welfare,Parks Total Expenditure
0,ALABAMA,1992,4128724,664748,9650515,8788293,8910315,1473217,2737180,395202,10536166,1103368,4217916,182698,3570524,14867372,394119,724852,280179,280179,2661923,607453,151432,205227,77789,694874,5564374,1853436,9728
1,ALABAMA,1993,4170084,781952,10242374,9339796,9688246,1570768,2965310,377723,11389335,1324610,4639784,182217,3663465,15812794,412456,761582,267648,267648,2739037,599988,156698,224878,78320,856228,5913144,2016935,11031
2,ALABAMA,1994,3853804,767100,10815221,9922352,10014415,1454982,3077084,386771,11599362,1280747,4767108,216691,3969277,16521395,487044,762811,250642,250642,2912886,643807,169019,234592,86839,883852,6370171,2167799,12053
3,ALABAMA,1995,3758726,808001,11541881,10489513,10582838,1566923,3240417,480698,12279726,1280494,5077827,231357,4400912,17676836,491648,912649,193752,193752,3185218,643469,185903,232783,83482,924411,6703955,2291264,10645
4,ALABAMA,1996,3645292,760751,12126587,10991713,10894396,1710360,3347019,422841,12741148,1334829,5257771,220046,4872259,18315497,514380,987710,216842,216842,3663894,649073,173797,265426,86936,881381,6782766,2325418,7788
5,ALABAMA,1997,3780493,770809,12944867,11668841,11487011,2381696,3553541,424165,14007883,1360764,5484161,233870,5175279,21921724,566651,1134137,223666,223666,3918256,669731,175948,279304,93163,837255,7241270,2537627,16320
6,ALABAMA,1998,4166572,755486,13728431,12475614,12433410,2268663,4021037,434433,14843951,1422930,5739128,257214,5362196,24134392,554980,1107068,202507,202507,4040099,778771,180408,268751,102178,882080,7575449,3027120,20222
7,ALABAMA,1999,4467074,851302,14701938,13289087,13093255,2262606,4281715,454177,15501093,1480248,6032234,282458,5751997,25450764,588248,1271203,197963,197963,4287087,793813,202937,308206,113709,921658,8068008,3195049,15401
8,ALABAMA,2000,5291796,1136551,15872589,14399604,14116821,2588130,4781099,541645,16856646,1526560,6438438,278856,6224938,26680001,598894,1322395,275930,275930,4678810,797887,194417,353816,117831,1076311,8503158,3484564,11326
9,ALABAMA,2001,5577158,1214496,16718151,15055914,15731646,1972924,5715592,432671,17859899,1585107,6747707,303759,6385451,28878361,644288,1505848,267537,267537,4605027,1052701,205794,378117,124884,1163889,9053735,3776253,15956
10,ALABAMA,2002,6405164,1445150,17996418,16160326,15986065,-1204495,6275399,394973,14942192,1634833,6509765,331476,6811434,26801796,718443,1675057,241867,241867,4870864,914681,230519,378394,128801,1255800,9609567,4110058,23155
11,ALABAMA,2003,6284640,1473974,18471110,17009944,16574756,2356008,6668784,399871,19098788,1585666,6416351,356928,7053792,29664032,762009,1288155,252401,252401,4932565,1018207,225308,388308,129591,1163904,10379978,4531802,25422
12,ALABAMA,2004,6363885,1644475,19544560,17621702,17449427,3779920,6724211,397429,21401777,1783002,7018242,397943,7617223,33415975,814615,1745203,236417,236417,5027303,1076592,237615,409663,130234,1199566,10740445,4568332,23014
13,ALABAMA,2012,8719430,1933244,30813117,27089980,23527080,5858261,9575193,517676,29652729,2351699,9049294,544531,11449337,29491034,498933,3475004,340153,340153,8105041,1141032,248089,474571,119458,1468133,16486557,7799839,27729
14,ALABAMA,2013,9094764,2276020,31382719,27784838,24248330,5942462,9850561,490430,30469040,2376842,9270919,524014,11843255,32957609,455497,3335440,352891,352891,7990135,1195567,259423,487249,119097,1578517,16871926,7782431,21172
15,ALABAMA,2014,8907686,1880255,31758035,27924214,24136181,4896240,9378560,386378,29321403,2419482,9296846,541838,11762054,37535694,421115,3566937,451887,451887,7997816,1242898,253936,484803,124635,1562694,17353630,7923779,22788
16,ALABAMA,2015,9125828,2011264,32459306,28710747,26154103,1706834,10034425,493883,28169117,2472137,9755439,555852,12235527,35276551,414116,3462691,364207,364207,8031559,1687595,266925,455334,155814,1631748,17833570,8204660,22088
17,ALABAMA,2016,8656730,1849423,31582710,27719883,25848641,4558211,9525667,575510,30732245,2565774,10355317,541525,10929674,36261027,412668,3541484,355087,355087,7858385,1143026,250813,467139,170514,1653128,17119224,8448333,18359
18,ALABAMA,2017,8793477,1984203,31236831,27524584,26770467,6360069,9949247,528539,33465953,2592411,10417084,553944,11436927,53290486,551627,3383128,389784,389784,8529339,1363858,295316,496595,171607,1659619,17641478,7323358,22814
19,ALABAMA,2018,9856082,2396797,32708378,28862374,28259466,6024841,10303451,521990,34635220,2747974,11055577,595676,12016743,55085691,528982,3505303,395811,395811,8705373,1519862,270436,508464,178415,2017229,18423559,7457270,24709
20,ALABAMA,2019,10097887,2454561,34420325,30621284,30197479,4912199,11279007,555980,35488256,2706611,11576632,672347,12596861,56999274,573886,3447907,384485,384485,9469033,1660108,269276,522062,200242,1970758,19518533,8049909,31113
21,ALASKA,1992,4941602,389682,5254925,4788127,5342507,958318,773106,80704,6327318,101286,1602937,135804,1200990,24635841,170885,390551,472114,449430,2209137,2689036,236426,1220922,52292,547162,2846879,507655,16829
22,ALASKA,1993,4426963,428896,5423008,4933907,6159665,1170688,904620,62951,7358035,99239,2227283,135224,1266638,27039489,173336,427892,424719,403214,2270797,2759550,232631,1192833,53474,586378,2919195,563876,15033
23,ALASKA,1994,3585262,502363,5751517,5256168,5279241,895989,919487,73785,6203364,99654,1240275,142174,1278065,26539415,169672,449398,352454,330229,2625005,2850626,347771,890766,54946,564753,3057576,633407,16039
24,ALASKA,1995,3232262,410937,5599033,5047423,7358377,905812,980048,75078,8288036,101039,1922463,146625,1257989,28380127,144182,503961,293414,275631,2397227,4177013,241582,1218341,55290,579041,3148468,642672,14661
25,ALASKA,1996,3176601,447790,5629502,5104670,6818956,1417983,1017117,78896,8253549,99124,1519082,150026,1235738,31485213,159218,504055,250887,239608,2347784,3988383,267104,1014792,53161,622849,3193946,712735,14849
26,ALASKA,1997,3290599,439775,5722455,5159684,7424923,1992573,1042225,77924,9438512,96014,1619110,152126,1198832,34496751,159454,538748,243028,226689,2381816,4463181,288928,1113835,56722,589804,3309084,742419,15406
27,ALASKA,1998,3799708,382310,5803173,5230194,7973315,1044058,1079799,94334,9039235,116803,1186237,158809,1207913,41169806,161108,548390,241349,224744,2440725,5401677,264689,699342,57963,549996,3486538,758931,16992
28,ALASKA,1999,3910581,565699,6140559,5571932,5940989,1346244,1222794,84868,7312896,132004,905135,153161,1325244,43425163,159419,540189,237443,217867,2706959,3499070,257384,476452,61190,577527,3597095,790010,13229
29,ALASKA,2000,4150498,591147,6611154,5972185,7330352,1228836,1201549,91661,8584447,137735,1423287,173624,1319094,47195140,150313,574158,258123,248106,2874443,4378418,250331,755453,63311,639941,3990109,914855,9055
30,ALASKA,2001,4507108,665886,7072000,6413598,6043307,117353,1289816,73417,6185917,134637,1428698,172610,1443738,41075122,162273,599117,273339,263801,2968840,2973731,254906,820202,71787,649746,4395287,1022604,9648
31,ALASKA,2002,5307941,750832,7402469,6702256,5422566,-421149,1556466,74119,5018805,142050,1089504,173844,1566815,40020387,160168,646906,281231,275884,3017685,2438871,240427,604062,77758,687407,4510069,1150533,9625
32,ALASKA,2003,5829798,934820,8121540,7111497,6098669,809970,1997175,70107,6924221,152132,1120133,182046,1693672,42870530,168955,947676,265237,256233,3015620,2631794,256006,690819,83961,810807,4733293,1312794,9657
33,ALASKA,2004,5688414,886846,8089240,6834832,6630141,2207887,2193578,83738,8852189,172876,1343191,176642,1707847,45532403,118307,1165261,251225,242443,2564766,2715855,247000,747013,61681,828835,4529620,1471607,9527
34,ALASKA,2012,5909456,1295382,11729460,10262809,14324470,642566,2866427,135055,14983393,248432,7049398,312646,2595207,69479742,330057,1300476,287494,282462,4241354,3806254,318248,6002767,146284,1071272,6762269,2018001,20181
35,ALASKA,2013,6218363,1460784,12214628,10707194,12280315,1929995,2754412,135720,14227247,249586,5132811,335234,2806879,78018582,329296,1298470,267684,263066,4424554,3769295,331740,4116564,166917,1152768,6962794,2084000,29247
36,ALASKA,2014,6048619,1432239,12926157,11484542,10436362,2297628,2810194,141947,12751532,257696,3392869,336833,2787377,82920385,308791,1213482,254537,250410,5099337,3605694,358952,2584288,163869,1280403,7772455,2106052,24164
