,State,Year, Debt at end of fiscal year,Capital outlay,Expenditure,General expenditure,General revenue,Insurance trust  revenue,Intergovernmental,License tax,Revenue,Selective sales tax,Tax,Correction,Education,Financial Aid,Health,Insurance benefits and repayments,Interest on debt,Interest on general debt,Intergovernmental,Miscellaneous general revenue,Natural Resources,Other taxes,Police protection,Transportation,Utilities,Welfare
0,ALABAMA,1992,4128724,664748,9650515,8788293,8910315,1473217,2737180,395202,10536166,1103368,4217916,{'Correction Total': 182698},{'Education Total': 3570524},"{'Assistance and Subsidies': 273050, 'Cash and Securities Total': 14594322}",{'Health Total Expenditure': 394119},724852,280179,280179,"{'Intergovernmental Expenditure': 2143312, 'Intergovernmental to Combined and Unallocable': 518611}",607453,"{'Natural Resources Construction': 151432, 'Parks': {'Parks Total Expenditure': 9728}}",205227,77789,{'Highways': {'Highways Total Expenditure': 694874}},{'Utilities Current Operation': 5564374},{'Welfare Institution Total Expenditure': 1853436}
1,ALABAMA,1993,4170084,781952,10242374,9339796,9688246,1570768,2965310,377723,11389335,1324610,4639784,{'Correction Total': 182217},{'Education Total': 3663465},"{'Assistance and Subsidies': 306485, 'Cash and Securities Total': 15506309}",{'Health Total Expenditure': 412456},761582,267648,267648,"{'Intergovernmental Expenditure': 2211563, 'Intergovernmental to Combined and Unallocable': 527474}",599988,"{'Natural Resources Construction': 156698, 'Parks': {'Parks Total Expenditure': 11031}}",224878,78320,{'Highways': {'Highways Total Expenditure': 856228}},{'Utilities Current Operation': 5913144},{'Welfare Institution Total Expenditure': 2016935}
2,ALABAMA,1994,3853804,767100,10815221,9922352,10014415,1454982,3077084,386771,11599362,1280747,4767108,{'Correction Total': 216691},{'Education Total': 3969277},"{'Assistance and Subsidies': 315344, 'Cash and Securities Total': 16206051}",{'Health Total Expenditure': 487044},762811,250642,250642,"{'Intergovernmental Expenditure': 2349153, 'Intergovernmental to Combined and Unallocable': 563733}",643807,"{'Natural Resources Construction': 169019, 'Parks': {'Parks Total Expenditure': 12053}}",234592,86839,{'Highways': {'Highways Total Expenditure': 883852}},{'Utilities Current Operation': 6370171},{'Welfare Institution Total Expenditure': 2167799}
3,ALABAMA,1995,3758726,808001,11541881,10489513,10582838,1566923,3240417,480698,12279726,1280494,5077827,{'Correction Total': 231357},{'Education Total': 4400912},"{'Assistance and Subsidies': 303811, 'Cash and Securities Total': 17373025}",{'Health Total Expenditure': 491648},912649,193752,193752,"{'Intergovernmental Expenditure': 2619713, 'Intergovernmental to Combined and Unallocable': 565505}",643469,"{'Natural Resources Construction': 185903, 'Parks': {'Parks Total Expenditure': 10645}}",232783,83482,{'Highways': {'Highways Total Expenditure': 924411}},{'Utilities Current Operation': 6703955},{'Welfare Institution Total Expenditure': 2291264}
4,ALABAMA,1996,3645292,760751,12126587,10991713,10894396,1710360,3347019,422841,12741148,1334829,5257771,{'Correction Total': 220046},{'Education Total': 4872259},"{'Assistance and Subsidies': 301698, 'Cash and Securities Total': 18013799}",{'Health Total Expenditure': 514380},987710,216842,216842,"{'Intergovernmental Expenditure': 3076820, 'Intergovernmental to Combined and Unallocable': 587074}",649073,"{'Natural Resources Construction': 173797, 'Parks': {'Parks Total Expenditure': 7788}}",265426,86936,{'Highways': {'Highways Total Expenditure': 881381}},{'Utilities Current Operation': 6782766},{'Welfare Institution Total Expenditure': 2325418}
5,ALABAMA,1997,3780493,770809,12944867,11668841,11487011,2381696,3553541,424165,14007883,1360764,5484161,{'Correction Total': 233870},{'Education Total': 5175279},"{'Assistance and Subsidies': 282494, 'Cash and Securities Total': 21639230}",{'Health Total Expenditure': 566651},1134137,223666,223666,"{'Intergovernmental Expenditure': 3292491, 'Intergovernmental to Combined and Unallocable': 625765}",669731,"{'Natural Resources Construction': 175948, 'Parks': {'Parks Total Expenditure': 16320}}",279304,93163,{'Highways': {'Highways Total Expenditure': 837255}},{'Utilities Current Operation': 7241270},{'Welfare Institution Total Expenditure': 2537627}
6,ALABAMA,1998,4166572,755486,13728431,12475614,12433410,2268663,4021037,434433,14843951,1422930,5739128,{'Correction Total': 257214},{'Education Total': 5362196},"{'Assistance and Subsidies': 668076, 'Cash and Securities Total': 23466316}",{'Health Total Expenditure': 554980},1107068,202507,202507,"{'Intergovernmental Expenditure': 3419845, 'Intergovernmental to Combined and Unallocable': 620254}",778771,"{'Natural Resources Construction': 180408, 'Parks': {'Parks Total Expenditure': 20222}}",268751,102178,{'Highways': {'Highways Total Expenditure': 882080}},{'Utilities Current Operation': 7575449},{'Welfare Institution Total Expenditure': 3027120}
7,ALABAMA,1999,4467074,851302,14701938,13289087,13093255,2262606,4281715,454177,15501093,1480248,6032234,{'Correction Total': 282458},{'Education Total': 5751997},"{'Assistance and Subsidies': 682036, 'Cash and Securities Total': 24768728}",{'Health Total Expenditure': 588248},1271203,197963,197963,"{'Intergovernmental Expenditure': 3631426, 'Intergovernmental to Combined and Unallocable': 655661}",793813,"{'Natural Resources Construction': 202937, 'Parks': {'Parks Total Expenditure': 15401}}",308206,113709,{'Highways': {'Highways Total Expenditure': 921658}},{'Utilities Current Operation': 8068008},{'Welfare Institution Total Expenditure': 3195049}
8,ALABAMA,2000,5291796,1136551,15872589,14399604,14116821,2588130,4781099,541645,16856646,1526560,6438438,{'Correction Total': 278856},{'Education Total': 6224938},"{'Assistance and Subsidies': 726205, 'Cash and Securities Total': 25953796}",{'Health Total Expenditure': 598894},1322395,275930,275930,"{'Intergovernmental Expenditure': 3908350, 'Intergovernmental to Combined and Unallocable': 770460}",797887,"{'Natural Resources Construction': 194417, 'Parks': {'Parks Total Expenditure': 11326}}",353816,117831,{'Highways': {'Highways Total Expenditure': 1076311}},{'Utilities Current Operation': 8503158},{'Welfare Institution Total Expenditure': 3484564}
9,ALABAMA,2001,5577158,1214496,16718151,15055914,15731646,1972924,5715592,432671,17859899,1585107,6747707,{'Correction Total': 303759},{'Education Total': 6385451},"{'Assistance and Subsidies': 783882, 'Cash and Securities Total': 28094479}",{'Health Total Expenditure': 644288},1505848,267537,267537,"{'Intergovernmental Expenditure': 3892653, 'Intergovernmental to Combined and Unallocable': 712374}",1052701,"{'Natural Resources Construction': 205794, 'Parks': {'Parks Total Expenditure': 15956}}",378117,124884,{'Highways': {'Highways Total Expenditure': 1163889}},{'Utilities Current Operation': 9053735},{'Welfare Institution Total Expenditure': 3776253}
10,ALABAMA,2002,6405164,1445150,17996418,16160326,15986065,-1204495,6275399,394973,14942192,1634833,6509765,{'Correction Total': 331476},{'Education Total': 6811434},"{'Assistance and Subsidies': 929215, 'Cash and Securities Total': 25872581}",{'Health Total Expenditure': 718443},1675057,241867,241867,"{'Intergovernmental Expenditure': 4095562, 'Intergovernmental to Combined and Unallocable': 775302}",914681,"{'Natural Resources Construction': 230519, 'Parks': {'Parks Total Expenditure': 23155}}",378394,128801,{'Highways': {'Highways Total Expenditure': 1255800}},{'Utilities Current Operation': 9609567},{'Welfare Institution Total Expenditure': 4110058}
11,ALABAMA,2003,6284640,1473974,18471110,17009944,16574756,2356008,6668784,399871,19098788,1585666,6416351,{'Correction Total': 356928},{'Education Total': 7053792},"{'Assistance and Subsidies': 1002597, 'Cash and Securities Total': 28661435}",{'Health Total Expenditure': 762009},1288155,252401,252401,"{'Intergovernmental Expenditure': 4074005, 'Intergovernmental to Combined and Unallocable': 858560}",1018207,"{'Natural Resources Construction': 225308, 'Parks': {'Parks Total Expenditure': 25422}}",388308,129591,{'Highways': {'Highways Total Expenditure': 1163904}},{'Utilities Current Operation': 10379978},{'Welfare Institution Total Expenditure': 4531802}
12,ALABAMA,2004,6363885,1644475,19544560,17621702,17449427,3779920,6724211,397429,21401777,1783002,7018242,{'Correction Total': 397943},{'Education Total': 7617223},"{'Assistance and Subsidies': 1013301, 'Cash and Securities Total': 32402674}",{'Health Total Expenditure': 814615},1745203,236417,236417,"{'Intergovernmental Expenditure': 4164719, 'Intergovernmental to Combined and Unallocable': 862584}",1076592,"{'Natural Resources Construction': 237615, 'Parks': {'Parks Total Expenditure': 23014}}",409663,130234,{'Highways': {'Highways Total Expenditure': 1199566}},{'Utilities Current Operation': 10740445},{'Welfare Institution Total Expenditure': 4568332}
13,ALABAMA,2012,8719430,1933244,30813117,27089980,23527080,5858261,9575193,517676,29652729,2351699,9049294,{'Correction Total': 544531},{'Education Total': 11449337},"{'Assistance and Subsidies': 1973275, 'Cash and Securities Total': 27517759}",{'Health Total Expenditure': 498933},3475004,340153,340153,"{'Intergovernmental Expenditure': 6604884, 'Intergovernmental to Combined and Unallocable': 1500157}",1141032,"{'Natural Resources Construction': 248089, 'Parks': {'Parks Total Expenditure': 27729}}",474571,119458,{'Highways': {'Highways Total Expenditure': 1468133}},{'Utilities Current Operation': 16486557},{'Welfare Institution Total Expenditure': 7799839}
14,ALABAMA,2013,9094764,2276020,31382719,27784838,24248330,5942462,9850561,490430,30469040,2376842,9270919,{'Correction Total': 524014},{'Education Total': 11843255},"{'Assistance and Subsidies': 2039078, 'Cash and Securities Total': 30918531}",{'Health Total Expenditure': 455497},3335440,352891,352891,"{'Intergovernmental Expenditure': 6507364, 'Intergovernmental to Combined and Unallocable': 1482771}",1195567,"{'Natural Resources Construction': 259423, 'Parks': {'Parks Total Expenditure': 21172}}",487249,119097,{'Highways': {'Highways Total Expenditure': 1578517}},{'Utilities Current Operation': 16871926},{'Welfare Institution Total Expenditure': 7782431}
15,ALABAMA,2014,8907686,1880255,31758035,27924214,24136181,4896240,9378560,386378,29321403,2419482,9296846,{'Correction Total': 541838},{'Education Total': 11762054},"{'Assistance and Subsidies': 1990251, 'Cash and Securities Total': 35545443}",{'Health Total Expenditure': 421115},3566937,451887,451887,"{'Intergovernmental Expenditure': 6515075, 'Intergovernmental to Combined and Unallocable': 1482741}",1242898,"{'Natural Resources Construction': 253936, 'Parks': {'Parks Total Expenditure': 22788}}",484803,124635,{'Highways': {'Highways Total Expenditure': 1562694}},{'Utilities Current Operation': 17353630},{'Welfare Institution Total Expenditure': 7923779}
16,ALABAMA,2015,9125828,2011264,32459306,28710747,26154103,1706834,10034425,493883,28169117,2472137,9755439,{'Correction Total': 555852},{'Education Total': 12235527},"{'Assistance and Subsidies': 2051649, 'Cash and Securities Total': 33224902}",{'Health Total Expenditure': 414116},3462691,364207,364207,"{'Intergovernmental Expenditure': 6735925, 'Intergovernmental to Combined and Unallocable': 1295634}",1687595,"{'Natural Resources Construction': 266925, 'Parks': {'Parks Total Expenditure': 22088}}",455334,155814,{'Highways': {'Highways Total Expenditure': 1631748}},{'Utilities Current Operation': 17833570},{'Welfare Institution Total Expenditure': 8204660}
17,ALABAMA,2016,8656730,1849423,31582710,27719883,25848641,4558211,9525667,575510,30732245,2565774,10355317,{'Correction Total': 541525},{'Education Total': 10929674},"{'Assistance and Subsidies': 2045443, 'Cash and Securities Total': 34215584}",{'Health Total Expenditure': 412668},3541484,355087,355087,"{'Intergovernmental Expenditure': 6672049, 'Intergovernmental to Combined and Unallocable': 1186336}",1143026,"{'Natural Resources Construction': 250813, 'Parks': {'Parks Total Expenditure': 18359}}",467139,170514,{'Highways': {'Highways Total Expenditure': 1653128}},{'Utilities Current Operation': 17119224},{'Welfare Institution Total Expenditure': 8448333}
18,ALABAMA,2017,8793477,1984203,31236831,27524584,26770467,6360069,9949247,528539,33465953,2592411,10417084,{'Correction Total': 553944},{'Education Total': 11436927},"{'Assistance and Subsidies': 863799, 'Cash and Securities Total': 52426687}",{'Health Total Expenditure': 551627},3383128,389784,389784,"{'Intergovernmental Expenditure': 6974439, 'Intergovernmental to Combined and Unallocable': 1554900}",1363858,"{'Natural Resources Construction': 295316, 'Parks': {'Parks Total Expenditure': 22814}}",496595,171607,{'Highways': {'Highways Total Expenditure': 1659619}},{'Utilities Current Operation': 17641478},{'Welfare Institution Total Expenditure': 7323358}
19,ALABAMA,2018,9856082,2396797,32708378,28862374,28259466,6024841,10303451,521990,34635220,2747974,11055577,{'Correction Total': 595676},{'Education Total': 12016743},"{'Assistance and Subsidies': 936985, 'Cash and Securities Total': 54148706}",{'Health Total Expenditure': 528982},3505303,395811,395811,"{'Intergovernmental Expenditure': 7049923, 'Intergovernmental to Combined and Unallocable': 1655450}",1519862,"{'Natural Resources Construction': 270436, 'Parks': {'Parks Total Expenditure': 24709}}",508464,178415,{'Highways': {'Highways Total Expenditure': 2017229}},{'Utilities Current Operation': 18423559},{'Welfare Institution Total Expenditure': 7457270}
20,ALABAMA,2019,10097887,2454561,34420325,30621284,30197479,4912199,11279007,555980,35488256,2706611,11576632,{'Correction Total': 672347},{'Education Total': 12596861},"{'Assistance and Subsidies': 1011055, 'Cash and Securities Total': 55988219}",{'Health Total Expenditure': 573886},3447907,384485,384485,"{'Intergovernmental Expenditure': 7603784, 'Intergovernmental to Combined and Unallocable': 1865249}",1660108,"{'Natural Resources Construction': 269276, 'Parks': {'Parks Total Expenditure': 31113}}",522062,200242,{'Highways': {'Highways Total Expenditure': 1970758}},{'Utilities Current Operation': 19518533},{'Welfare Institution Total Expenditure': 8049909}
